user_idx,item_idx
27214,1029
26764,1029
29473,1029
19399,1029
37537,1029
28796,1029
20814,1029
18027,1029
32667,1029
31594,1029
37543,1029
34168,1029
37478,1029
29604,1029
24973,1029
30521,1029
36901,1029
15347,1029
34680,1029
26638,1029
22677,1029
34065,1029
8520,1029
22713,1029
8520,1029
22713,1029
6112,1029
37774,1029
18551,1029
30014,1029
17882,1029
14458,1029
26053,1029
19835,1029
32970,1029
33351,1029
31558,1029
28675,1029
21210,1029
30009,1029
19757,1029
26811,1029
27855,1029
37446,1029
25452,1029
32673,1029
20011,1029
8889,1029
28141,1029
10680,1029
26440,1029
24619,1029
26016,1029
35866,1029
36782,1029
26104,1029
23034,1029
37275,1029
23769,1029
25435,1029
35233,1029
33199,1029
28728,1029
24034,1029
34597,1029
34762,1029
33123,1029
22799,1029
33035,1029
16178,1029
22723,1029
24689,1029
27846,1029
30600,1029
27100,1029
36513,1029
30320,1029
31772,1029
36400,493
36910,493
26501,493
28631,493
31033,493
19079,493
30064,493
11371,493
15134,493
16454,493
4818,493
14987,493
34270,493
13969,493
24722,493
20628,493
5136,493
28739,493
35372,493
17847,493
35460,493
16382,493
35291,493
13238,493
7426,493
9916,493
19079,493
18272,493
2721,493
14031,493
37050,493
21537,493
15889,493
16058,493
21371,493
20873,493
15188,493
15394,493
5406,493
17180,493
17593,493
19189,493
32989,493
26520,493
3387,493
31630,493
28468,493
27516,493
17157,493
29205,493
20314,493
18022,493
27115,493
4885,493
8160,493
32561,738
24979,738
23644,738
34760,738
18505,738
16945,738
15624,738
17769,738
31976,738
30124,738
12478,738
15711,738
5217,738
16293,738
14673,738
30560,738
18347,738
30859,738
5430,738
17752,738
4002,738
16911,738
11913,738
29662,738
16225,738
23419,738
11600,738
20869,738
22571,738
7133,738
12755,738
6436,738
11913,738
19498,738
22123,738
21882,738
25413,738
33751,738
29713,738
13829,738
26029,738
21766,738
34717,738
34967,738
12254,738
25527,738
9671,738
12560,738
9803,738
18813,738
12729,738
37480,738
29066,738
29104,738
23771,738
36902,738
17754,738
4589,738
30439,738
25215,738
2669,738
17071,738
11068,501
18600,501
10894,501
17246,501
18014,501
12842,501
2694,501
1870,501
421,501
12505,501
35414,501
2086,501
19906,501
35317,501
17103,501
1459,501
26588,501
9033,501
25095,501
19022,501
28883,501
22887,501
23899,501
22887,501
23347,501
30444,501
28473,501
31443,501
1701,501
1701,501
2688,501
35259,501
21068,501
24112,501
14513,501
11591,501
4073,505
3493,505
12568,505
21233,505
11422,505
10362,505
20469,505
266,505
6383,505
3727,505
5100,505
33850,505
28329,505
36652,505
22113,505
28865,505
9376,505
3689,505
32366,505
22279,505
8199,505
12601,505
10378,505
22091,505
15444,505
700,505
31324,505
3394,505
30312,505
10378,505
13725,505
28721,505
256,647
18408,647
36838,647
15203,647
10450,647
2194,647
28885,647
4097,647
30871,647
3320,647
24524,647
37194,647
30308,647
33404,647
33821,647
22698,647
35869,647
27568,647
31909,647
4783,647
26296,647
26146,647
28329,647
34917,647
15182,647
6577,647
25889,647
20089,647
900,647
22134,647
36206,647
375,647
10351,647
36843,647
9098,647
36339,647
22850,647
27122,647
8070,647
34573,647
22048,647
10322,647
36873,647
10322,647
7900,647
30742,647
11923,647
2492,647
14695,647
33259,647
15781,647
25764,647
31650,647
27209,647
26872,647
2429,647
5102,647
17802,647
27759,647
26500,647
31265,647
22371,647
2241,647
18177,647
20878,647
24765,647
31265,647
21955,647
13419,647
5306,647
18468,647
26559,647
14153,647
27496,647
28000,647
12149,647
2919,647
21719,647
6434,647
29034,647
3969,647
24543,647
32034,647
3077,647
24543,647
18041,647
28494,647
15014,647
23498,647
13710,647
13962,647
14071,647
6065,647
26119,647
13626,647
16539,647
6934,647
14582,647
757,647
34365,647
113,647
6505,647
35414,647
23392,647
28309,647
6307,647
7750,647
8344,647
36681,647
37234,647
36681,647
36035,647
5672,647
17051,647
433,647
27842,647
14291,647
23998,647
10982,647
2333,647
7957,647
33112,647
17567,647
1582,647
26418,647
21158,647
11640,647
34792,647
21158,647
25021,647
27934,647
4327,647
32657,647
