user_id,user_idx
586,0
591,1
3692,2
10221,3
10465,4
10904,5
11106,6
11830,7
12301,8
12725,9
13194,10
13552,11
22713,12
24253,13
25773,14
30973,15
33053,16
35323,17
36623,18
51943,19
60023,20
71263,21
72583,22
81383,23
246103,24
286703,25
428333,26
458173,27
483223,28
589683,29
608583,30
612473,31
614833,32
625093,33
625163,34
642833,35
645503,36
657733,37
668933,38
695753,39
699953,40
703673,41
705533,42
718703,43
718713,44
722973,45
725213,46
742143,47
754485,48
755113,49
755768,50
759251,51
763224,52
763300,53
763731,54
766658,55
775861,56
776260,57
778057,58
782791,59
790036,60
792130,61
796907,62
797515,63
797805,64
806585,65
807095,66
810719,67
811972,68
814256,69
814667,70
817452,71
818690,72
820585,73
820694,74
821552,75
822647,76
824157,77
892821,78
894591,79
926091,80
927641,81
938591,82
971761,83
1039121,84
1044241,85
1045751,86
1054431,87
1067061,88
1101921,89
1171621,90
1217511,91
1281981,92
1366631,93
1386831,94
1413861,95
1417921,96
1421721,97
1463111,98
1500361,99
1520501,100
1621271,101
1666701,102
1677631,103
1680191,104
1691911,105
1712831,106
1716581,107
1720121,108
1735171,109
1759181,110
1782961,111
1819261,112
1929121,113
1962801,114
1965481,115
1974921,116
2063181,117
2092801,118
2097571,119
2110061,120
2179951,121
2200451,122
2200721,123
2242231,124
2267241,125
2367911,126
2371631,127
2393871,128
2503331,129
2527251,130
2570001,131
2670661,132
2690951,133
2768501,134
2776221,135
2809821,136
2838741,137
3015401,138
3025911,139
3108351,140
3204731,141
3210141,142
3223691,143
3254671,144
3297651,145
3325311,146
3359721,147
3393781,148
3401711,149
3446321,150
3584781,151
3585401,152
3650361,153
3840981,154
3847661,155
4068821,156
4191161,157
4207961,158
4239551,159
4381041,160
4393201,161
4413501,162
4450541,163
4899651,164
5010931,165
5157031,166
5197181,167
5264181,168
5354482,169
5392522,170
5395662,171
5402612,172
5407392,173
5409972,174
5415352,175
5484532,176
5487832,177
5505872,178
5516372,179
5539902,180
5555972,181
5557932,182
5570452,183
5571722,184
5618162,185
5669252,186
5691492,187
5695632,188
5711662,189
5799722,190
5817692,191
5820162,192
5820642,193
5835692,194
5842122,195
5849252,196
5849362,197
5855232,198
5856182,199
5872102,200
5879192,201
5911652,202
5943622,203
5944152,204
