user_idx,item_idx
24866,1020
23806,1020
23421,1020
25693,1020
17102,1020
32423,1020
25111,1020
18345,1020
19457,1020
15920,1020
23076,1020
28436,1020
27528,1020
32427,1020
29660,1020
32377,1020
25799,1020
21903,1020
26586,1020
31918,1020
13543,1020
9035,1020
30090,1020
23316,1020
19947,1020
29576,1020
3327,1020
7508,1020
19976,1020
7508,1020
19976,1020
5402,1020
32520,1020
16384,1020
26150,1020
15792,1020
12747,1020
22828,1020
17481,1020
28675,1020
28987,1020
27494,1020
16501,1020
25014,1020
18671,1020
26146,1020
17410,1020
22242,1020
32422,1020
23459,1020
24334,1020
32353,1020
22327,1020
22327,1020
28440,1020
17635,1020
7825,1020
24575,1020
9425,1020
23149,1020
23351,1020
21617,1020
22792,1020
31059,1020
31824,1020
22872,1020
30534,1020
20242,1020
32232,1020
20880,1020
31085,1020
22310,1020
20785,1020
7748,1020
30557,1020
28865,1020
25062,1020
21107,1020
5804,1020
26311,1020
30028,1020
30163,1020
28805,1020
20046,1020
28731,1020
14297,1020
19986,1020
21676,1020
19624,1020
24326,1020
26655,1020
26541,1020
23708,1020
31592,1020
15349,1020
20474,1020
26415,1020
27678,1020
31494,487
31926,487
23201,487
1584,487
10398,487
24981,487
27031,487
18961,487
28698,487
16832,487
26192,487
10045,487
22618,487
27031,487
13354,487
14542,487
4259,487
16550,487
13220,487
29747,487
12324,487
28439,487
21697,487
18176,487
4543,487
25069,487
30670,487
15764,487
30738,487
26259,487
14475,487
18122,487
30603,487
11691,487
6565,487
8717,487
16832,487
16141,487
2411,487
12374,487
32043,487
18961,487
14029,487
14187,487
18813,487
18392,487
13400,487
13578,487
4783,487
14035,487
15181,487
15547,487
16931,487
28693,487
23217,487
6572,487
3000,487
27557,487
24852,487
24058,487
15160,487
25455,487
17898,487
1566,487
15916,487
23721,487
378,487
4324,487
7206,487
17947,730
28343,730
21909,730
20774,730
30161,730
16347,730
14973,730
13790,730
15702,730
3322,730
27853,730
26038,730
20918,730
26243,730
11015,730
13867,730
26914,730
4619,730
14396,730
12950,730
26620,730
16209,730
26879,730
6630,730
4804,730
20758,730
15684,730
3539,730
14950,730
10515,730
25849,730
14335,730
20570,730
10240,730
18390,730
19852,730
6314,730
11255,730
5682,730
8076,730
10515,730
17191,730
31452,730
19462,730
19257,730
22293,730
29308,730
25886,730
12201,730
22805,730
19154,730
30123,730
30329,730
2160,730
10815,730
25814,730
4739,730
22391,730
8505,730
15699,730
11088,730
8622,730
16608,730
2180,730
11236,730
32379,730
25339,730
25373,730
20882,730
31919,730
15686,730
4059,730
26520,730
16234,730
22123,730
2368,730
15081,730
32250,730
9776,495
16422,495
9617,495
15243,495
15909,495
11334,495
2389,495
1648,495
379,495
11040,495
30702,495
1839,495
17541,495
30622,495
13143,495
15108,495
