user_id,user_idx
586,0
591,1
3692,2
10221,3
10465,4
10904,5
11106,6
11830,7
12725,8
13194,9
13552,10
22713,11
24253,12
25773,13
33053,14
36623,15
51943,16
60023,17
71263,18
72583,19
81383,20
246103,21
286703,22
458173,23
483223,24
608583,25
612473,26
614833,27
625093,28
625163,29
642833,30
645503,31
668933,32
695753,33
699953,34
703673,35
705533,36
718703,37
718713,38
722973,39
725213,40
742143,41
754485,42
755113,43
755768,44
755774,45
759251,46
760745,47
763224,48
763300,49
763731,50
766658,51
775861,52
776260,53
778057,54
790036,55
792130,56
796907,57
797515,58
797805,59
806585,60
810719,61
811972,62
814256,63
814667,64
818690,65
820585,66
820694,67
822647,68
824157,69
892821,70
894591,71
926091,72
927641,73
971761,74
1039121,75
1044241,76
1045751,77
1054431,78
1067061,79
1101921,80
1171621,81
1217511,82
1281981,83
1367531,84
1413861,85
1417921,86
1421721,87
1463111,88
1500361,89
1520501,90
1621271,91
1652821,92
1677631,93
1680191,94
1691911,95
1712831,96
1716581,97
1720121,98
1735171,99
1759181,100
1782961,101
1819261,102
1929121,103
1962801,104
1974921,105
2063181,106
2092801,107
2097571,108
2110061,109
2179951,110
2200451,111
2200721,112
2242231,113
2267241,114
2367911,115
2371631,116
2393871,117
2503331,118
2527251,119
2570001,120
2670661,121
2690951,122
2768501,123
2809821,124
2838741,125
3025911,126
3108351,127
3204731,128
3210141,129
3254671,130
3297651,131
3325311,132
3359721,133
3393781,134
3401711,135
3446321,136
3584781,137
3585401,138
3650361,139
3840981,140
3847661,141
4068821,142
4207961,143
4239551,144
4381041,145
4393201,146
4413501,147
4450541,148
4899651,149
5010931,150
5047181,151
5157031,152
5264181,153
5354482,154
5402612,155
5407392,156
5409972,157
5415352,158
5484532,159
5487832,160
5505872,161
5539902,162
5555972,163
5557932,164
5570452,165
5571722,166
5618162,167
5669252,168
5691492,169
5695632,170
5711662,171
5799722,172
5817692,173
5820642,174
5835692,175
5842122,176
5849362,177
5855232,178
5856182,179
5872102,180
5879192,181
5911652,182
5943622,183
5944152,184
5976352,185
5976502,186
5982652,187
6016962,188
6077902,189
6107302,190
6125482,191
6133472,192
6153732,193
6217402,194
6267962,195
6273552,196
6433472,197
6486312,198
6524622,199
6591312,200
6592042,201
6658612,202
