user_id,user_idx
586,0
591,1
3692,2
10221,3
10465,4
10904,5
11106,6
11830,7
12301,8
12725,9
13194,10
13552,11
22713,12
24253,13
25773,14
30973,15
33053,16
35323,17
36623,18
51943,19
60023,20
71263,21
72583,22
81383,23
246103,24
286703,25
428333,26
458173,27
483223,28
589683,29
608583,30
612473,31
614833,32
625093,33
625163,34
642833,35
645503,36
657733,37
668933,38
695753,39
699953,40
703673,41
705533,42
718703,43
718713,44
722973,45
725213,46
742143,47
754485,48
755113,49
755768,50
755774,51
759251,52
760745,53
763224,54
763300,55
763731,56
766658,57
775861,58
776260,59
778057,60
782791,61
790036,62
792130,63
796907,64
797515,65
797805,66
806585,67
807095,68
810719,69
811972,70
814256,71
814667,72
817452,73
818690,74
820585,75
820694,76
821552,77
822647,78
824157,79
892821,80
894591,81
926091,82
927641,83
938591,84
971761,85
1039121,86
1044241,87
1045751,88
1054431,89
1067061,90
1101921,91
1171621,92
1217511,93
1281981,94
1366631,95
1367531,96
1386831,97
1413861,98
1417921,99
1421721,100
1463111,101
1500361,102
1520501,103
1621271,104
1652821,105
1666701,106
1677631,107
1680191,108
1691911,109
1712831,110
1716581,111
1720121,112
1735171,113
1759181,114
1782961,115
1819261,116
1929121,117
1962801,118
1965481,119
1974921,120
2063181,121
2092801,122
2097571,123
2110061,124
2179951,125
2200451,126
2200721,127
2242231,128
2267241,129
2367911,130
2371631,131
2393871,132
2503331,133
2527251,134
2570001,135
2670661,136
2690951,137
2768501,138
2776221,139
2809821,140
2838741,141
3015401,142
3025911,143
3108351,144
3204731,145
3210141,146
3223691,147
3254671,148
3297651,149
3325311,150
3359721,151
3393781,152
3401711,153
3446321,154
3584781,155
3585401,156
3650361,157
3840981,158
3847661,159
4068821,160
4191161,161
4207961,162
4239551,163
4381041,164
4393201,165
4413501,166
4450541,167
4899651,168
5010931,169
5047181,170
5157031,171
5197181,172
5264181,173
5354482,174
5392522,175
5395662,176
5402612,177
5407392,178
5409972,179
5415352,180
5484532,181
5487832,182
5505872,183
5516372,184
5539902,185
5553622,186
5555972,187
5557932,188
5570452,189
5571722,190
5618162,191
5669252,192
5691492,193
5695632,194
5711662,195
5799722,196
5817692,197
5820162,198
5820642,199
5835692,200
5842122,201
5849252,202
5849362,203
5855232,204
