model,mrr,ild,coverage,cov3,cov5,cov10,fr_pct,ur_pct,tr_pct,nr_pct,users_exposed,users_exposed_pct,mean_reach,users_reached,mean_depth,std_reach
LightGCN v2,0.0347,0.9101,1.0000,0.9965,1.0000,1.0000,67.49,17.45,14.23,0.83,14010,99.01,0.5830,23294,20.66,0.0147
ItemKNN,0.0347,0.8314,0.9826,0.8920,0.9582,0.9826,56.04,33.11,9.35,1.50,13613,96.20,0.5749,22972,20.82,0.0142
UserKNN,0.0338,0.8197,0.9512,0.7840,0.8815,0.9512,55.44,33.76,9.40,1.40,13581,95.98,0.5738,22926,20.94,0.0143
TF-IDF,0.0283,0.8706,0.9965,0.9965,0.9965,0.9965,70.60,12.20,15.40,1.81,14081,99.51,0.5846,23358,20.88,0.0144
GCN-BERT v2,0.0153,0.9386,1.0000,0.9617,0.9861,1.0000,50.53,37.58,9.01,2.89,13254,93.67,0.5742,22942,21.60,0.0148
GCN-Random v2,0.0143,0.9708,1.0000,0.9791,0.9930,1.0000,59.62,20.36,16.96,3.06,14150,100.00,0.5859,23411,20.98,0.0145
Random,0.0153,0.9814,1.0000,1.0000,1.0000,1.0000,58.99,21.78,16.76,2.47,14150,100.00,0.5859,23411,20.98,0.0145
MostPopular,0.0119,0.0000,0.0348,0.0105,0.0174,0.0348,50.00,50.00,0.00,0.00,14150,100.00,0.5859,23411,20.98,0.0145
